Simulation	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650
184	0	0	0	0	0	0.02	0.06	0.18	0.28	0.67	0.86	0.95	0.98	0.95	0.91	0.89
185	0	0	0	0	0.01	0.02	0.06	0.17	0.31	0.66	0.81	0.97	0.96	0.92	0.94	0.91
186	0	0	0.01	0.01	0.01	0.03	0.05	0.19	0.29	0.68	0.81	0.93	0.97	0.95	0.93	0.95
187	0	0	0	0.01	0.01	0.02	0.05	0.17	0.28	0.69	0.84	0.96	0.96	0.95	0.93	0.92
188	0	0	0.01	0	0	0.02	0.05	0.18	0.28	0.67	0.81	0.94	0.97	0.95	0.92	0.96
189	0	0	0	0.01	0	0.03	0.06	0.17	0.29	0.74	0.76	0.93	0.98	0.96	0.91	0.96
190	0	0	0	0.01	0.01	0.02	0.05	0.17	0.3	0.67	0.81	0.96	0.96	0.92	0.95	0.93
191	0	0	0	0	0	0.02	0.06	0.17	0.29	0.69	0.81	0.94	0.98	0.95	0.92	0.93
192	0	0	0.01	0	0.01	0.03	0.05	0.17	0.27	0.69	0.81	0.96	0.96	0.93	0.94	0.95
193	0	0	0.01	0	0	0.02	0.05	0.18	0.29	0.68	0.85	0.94	0.97	0.94	0.91	0.97
194	0	0	0	0.01	0	0.01	0.05	0.19	0.3	0.67	0.81	0.96	0.96	0.97	0.9	0.93
195	0	0	0.01	0	0	0.03	0.05	0.18	0.3	0.69	0.8	0.94	0.96	0.95	0.92	0.97
196	0	0	0.01	0	0.01	0.02	0.06	0.18	0.29	0.68	0.8	0.97	0.96	0.94	0.91	0.96
197	0.02	0	0	0	0.01	0.03	0.05	0.18	0.29	0.66	0.83	0.95	0.97	0.96	0.92	0.94
198	0	0	0	0	0	0.02	0.06	0.18	0.27	0.68	0.81	0.96	0.97	0.94	0.91	0.91
199	0	0	0	0	0	0.02	0.06	0.17	0.29	0.69	0.82	0.95	0.97	0.96	0.9	0.94
200	0	0	0	0	0	0.02	0.05	0.19	0.27	0.7	0.85	0.94	0.97	0.9	0.92	0.95
201	0	0	0	0	0	0.03	0.04	0.17	0.3	0.69	0.81	0.94	0.96	0.93	0.94	0.92
202	0	0	0	0.01	0	0.03	0.06	0.18	0.28	0.68	0.84	0.96	0.96	0.96	0.92	0.91
203	0	0	0	0	0	0.03	0.06	0.17	0.28	0.68	0.8	0.95	0.97	0.92	0.93	0.94
204	0	0	0	0.01	0	0.02	0.05	0.19	0.29	0.71	0.78	0.96	0.97	0.94	0.92	0.92
205	0	0	0	0	0.01	0.02	0.05	0.2	0.28	0.67	0.83	0.96	0.97	0.94	0.91	0.94
206	0	0	0	0.01	0.02	0.02	0.05	0.17	0.29	0.69	0.83	0.95	0.98	0.93	0.93	0.94
207	0	0	0	0	0	0.03	0.05	0.17	0.28	0.64	0.83	0.95	0.97	0.95	0.93	0.96
208	0	0	0	0	0	0.03	0.05	0.18	0.29	0.65	0.83	0.92	0.96	0.95	0.9	0.96
209	0	0	0.01	0	0	0.02	0.06	0.18	0.29	0.66	0.87	0.95	0.98	0.94	0.94	0.91
210	0.01	0	0	0	0.01	0.02	0.04	0.2	0.28	0.69	0.82	0.94	0.97	0.95	0.93	0.91
211	0	0	0	0	0	0.02	0.06	0.17	0.29	0.7	0.84	0.96	0.97	0.92	0.94	0.94
212	0	0.02	0	0	0	0.03	0.04	0.2	0.28	0.69	0.81	0.95	0.95	0.94	0.92	0.95
213	0	0	0.01	0	0	0.02	0.06	0.19	0.27	0.65	0.82	0.94	0.96	0.95	0.9	0.99
214	0	0	0	0	0	0.03	0.05	0.19	0.28	0.64	0.84	0.95	0.95	0.96	0.92	0.93
215	0	0	0	0	0.02	0.02	0.06	0.18	0.29	0.66	0.82	0.96	0.97	0.95	0.92	0.93
216	0	0	0	0.01	0	0.03	0.05	0.18	0.3	0.68	0.82	0.93	0.97	0.93	0.92	0.94
217	0	0	0	0	0.01	0.02	0.06	0.16	0.29	0.69	0.85	0.95	0.97	0.9	0.97	0.94
218	0	0	0	0.01	0.01	0.02	0.05	0.18	0.28	0.72	0.8	0.95	0.97	0.95	0.92	0.92
219	0	0	0	0.01	0.02	0.02	0.06	0.18	0.27	0.69	0.82	0.94	0.97	0.93	0.91	0.96
220	0	0	0	0	0.01	0.02	0.06	0.18	0.29	0.68	0.8	0.97	0.97	0.91	0.95	0.91
221	0	0	0	0	0.01	0.02	0.05	0.19	0.28	0.7	0.83	0.93	0.98	0.94	0.93	0.93
222	0	0	0	0.01	0.01	0.02	0.04	0.18	0.31	0.68	0.83	0.95	0.97	0.93	0.93	0.96
223	0	0.02	0	0	0.01	0.02	0.06	0.21	0.26	0.66	0.81	0.94	0.97	0.95	0.9	0.96
224	0	0	0	0	0.02	0.02	0.06	0.18	0.27	0.67	0.84	0.93	0.97	0.95	0.92	0.95
225	0	0	0	0	0.01	0.02	0.05	0.18	0.29	0.67	0.82	0.95	0.96	0.94	0.92	0.95
226	0	0	0	0.01	0	0.02	0.06	0.16	0.3	0.67	0.83	0.95	0.96	0.93	0.95	0.92
227	0	0	0	0	0.01	0.02	0.05	0.17	0.29	0.68	0.84	0.92	0.98	0.95	0.92	0.94
228	0	0	0	0	0.01	0.03	0.04	0.21	0.26	0.63	0.84	0.96	0.97	0.94	0.92	0.92
229	0	0	0	0	0	0.03	0.06	0.17	0.28	0.71	0.82	0.94	0.98	0.92	0.95	0.94
230	0	0	0	0	0.01	0.02	0.05	0.19	0.26	0.7	0.86	0.93	0.98	0.92	0.92	0.94
231	0	0	0.01	0	0	0.03	0.05	0.17	0.28	0.67	0.87	0.93	0.95	0.94	0.91	0.96
232	0	0	0.01	0	0.01	0.02	0.06	0.18	0.29	0.66	0.83	0.95	0.97	0.96	0.91	0.92
233	0	0	0	0.01	0.01	0.02	0.06	0.19	0.28	0.66	0.86	0.94	0.97	0.9	0.94	0.94
234	0	0	0	0.01	0	0.03	0.06	0.17	0.28	0.65	0.83	0.97	0.96	0.96	0.89	0.99
235	0	0	0	0	0.01	0.02	0.06	0.18	0.29	0.66	0.85	0.95	0.97	0.93	0.93	0.93
236	0	0	0	0.01	0.01	0.03	0.05	0.17	0.27	0.69	0.83	0.97	0.96	0.96	0.91	0.92
